index	code_name	code_normal	sets_normal	sets_exceptional	sets_elite	uniques_normal	uniques_exceptional	uniques_elite
1	hax	axe/hand_axe						
2	axe	axe/axe						
3	2ax	axe/double_axe						
4	mpi	axe/military_pick						
5	wax	axe/war_axe						
6	lax	axe/large_axe						
7	bax	axe/broad_axe						
8	btx	axe/battle_axe						
9	gax	axe/great_axe						
10	gix	axe/giant_axe						
11	wnd	wand/wand						
12	ywn	wand/yew_wand						
13	bwn	wand/bone_wand						
14	gwn	wand/grim_wand						
15	clb	club/club						
16	scp	scepter/scepter						
17	gsc	scepter/grand_scepter						
18	wsp	scepter/war_scepter						
19	spc	club/spiked_club						
20	mac	mace/mace						
21	mst	mace/morning_star						
22	fla	mace/flail						
23	whm	hammer/war_hammer						
24	mau	hammer/maul						
25	gma	hammer/great_maul						
26	ssd	sword/short_sword						
27	scm	sword/scimitar						
28	sbr	sword/saber						
29	flc	sword/falchion						
30	crs	sword/crystal_sword						
31	bsd	sword/broad_sword						
32	lsd	sword/long_sword						
33	wsd	sword/war_sword						
34	2hs	sword/two_handed_sword						
35	clm	sword/claymore						
36	gis	sword/giant_sword						
37	bsw	sword/bastard_sword						
38	flb	sword/flamberge						
39	gsd	sword/great_sword						
40	dgr	knife/dagger						
41	dir	knife/dirk						
42	kri	knife/kriss						
43	bld	knife/blade						
44	tkf	knife/throwing_knife						
45	tax	axe/throwing_axe						
46	bkf	knife/balanced_knife						
47	bal	axe/balanced_axe						
48	jav	javelin/javelin						
49	pil	javelin/pilum						
50	ssp	javelin/short_spear						
51	glv	javelin/glaive						
52	tsp	javelin/throwing_spear						
53	spr	spear/spear						
54	tri	spear/trident						
55	brn	spear/brandistock						
56	spt	spear/spetum						
57	pik	spear/pike						
58	bar	polearm/bardiche						
59	vou	polearm/voulge						
60	scy	polearm/scythe						
61	pax	polearm/poleaxe						
62	hal	polearm/halberd						
63	wsc	polearm/war_scythe						
64	sst	staff/short_staff						
65	lst	staff/long_staff						
66	cst	staff/gnarled_staff						
67	bst	staff/battle_staff						
68	wst	staff/war_staff						
69	sbw	bow/short_bow						
70	hbw	bow/hunters_bow						
71	lbw	bow/long_bow						
